GalaxyName,M*[Msun],Reff[kpc],fDM(Reff),ErrorfDM,QualityFlag
IC0560,9885530946.56941,1.8799390575397967,0.12,0,2.0
IC0598,12473835142.429432,1.5464987460916537,0.24,0,2.0
IC0676,13835663789.71781,2.968314912452919,0.2,0,0.0
IC0719,33884415613.920204,1.5167786160434873,0.11,0,3.0
IC0782,9183325964.835793,2.8345328328542365,0.57,0,1.0
IC1024,10990058394.32522,1.404074761204833,0.15,0,2.0
IC3631,3881503659.9064865,2.348681663630528,0.0,0,0.0
NGC0448,20653801558.105354,1.4368018641876212,0.14,0,2.0
NGC0474,85901352150.53943,4.441537633257386,0.0,0,1.0
NGC0502,26181830082.189808,2.5157606241180694,0.0,0,1.0
NGC0509,10162486928.70695,2.3055650982750366,0.07,0,0.0
NGC0516,10715193052.376049,2.332944147738336,0.16,0,2.0
NGC0524,147570653327.58963,4.139337022461489,0.43,0,0.0
NGC0525,14689262776.438723,1.5911577641034245,0.0,0,1.0
NGC0661,79983425500.70293,2.406003713485265,0.08,0,1.0
NGC0680,97498963771.73846,3.152144619276051,0.08,0,1.0
NGC0770,13458603540.55947,1.2800912561450346,0.19,0,0.0
NGC0821,101624869287.06949,3.9426726865022306,0.18,0,2.0
NGC0936,125314117494.1413,5.75205308120282,0.38,0,2.0
NGC1023,65765783735.54226,1.8918985554856587,0.0,0,3.0
NGC1121,27733201046.518383,1.1151918123536673,0.13,0,2.0
NGC1222,10543868963.91258,2.48896678096984,0.76,0,0.0
NGC1248,16595869074.375631,2.0722800710046525,0.0,0,2.0
NGC1266,25822601906.34601,2.7621423404072902,0.0,0,0.0
NGC1289,45708818961.48752,3.1835090675044055,0.14,0,1.0
NGC1665,35645113342.62439,4.566738402709708,0.12,0,1.0
NGC2481,43752210515.82521,1.4214279312768958,0.06,0,2.0
NGC2549,20844908830.97293,1.1362659126090189,0.17,0,3.0
NGC2577,77624711662.86928,2.350312353697616,0.06,0,3.0
NGC2592,47643098680.541466,1.4774570867225036,0.01,0,1.0
NGC2594,24831331052.95578,1.2214676891336844,0.07,0,1.0
NGC2679,21727011788.637432,3.6926254268567833,0.17,0,0.0
NGC2685,15275660582.380701,1.787686407212026,0.18,0,3.0
NGC2695,74301913789.67021,2.6356359374543916,0.11,0,2.0
NGC2698,66680676921.36219,1.6238434493871754,0.0,0,3.0
NGC2699,22750974307.720764,1.4121348079072857,0.07,0,1.0
NGC2764,43451022417.15732,2.8462303986774384,0.0,0,2.0
NGC2768,341979442513.7094,6.33915484675863,0.0,0,1.0
NGC2778,30478949896.27983,1.655311490929147,0.04,0,2.0
NGC2824,14157937799.570808,1.5818644864112807,0.45,0,0.0
NGC2852,28575905433.749435,1.1000684944629524,0.0,0,1.0
NGC2859,89125093813.3744,3.613587963651875,0.06,0,2.0
NGC2880,32809529311.311905,2.118139066179138,0.25,0,1.0
NGC2950,26668586645.214806,1.2132292410504344,0.11,0,1.0
NGC2962,125025903021.77238,4.786893704663749,0.0,0,1.0
NGC2974,126473634747.1147,2.797184757049044,0.07,0,3.0
NGC3032,7095777679.633873,1.9860429678137548,0.42,0,0.0
NGC3073,6397348354.826495,3.2022018975142608,0.44,0,0.0
NGC3098,21478304741.305286,1.148954162435589,0.18,0,0.0
NGC3156,8609937521.845982,1.9099911741532396,0.23,0,1.0
NGC3182,27289777828.080406,3.6902329629679653,0.48,0,0.0
NGC3193,133967668742.59372,4.409637209690965,0.08,0,2.0
NGC3226,98401110576.11305,4.087053748914882,0.0,0,2.0
NGC3230,125602996369.48755,3.313103703208246,0.04,0,2.0
NGC3245,57676646339.224976,2.291241699952628,0.11,0,3.0
NGC3248,16788040181.22559,2.320117468347375,0.15,0,2.0
NGC3301,23713737056.616554,2.058304927940708,0.21,0,3.0
NGC3377,27605778562.203503,2.0606363887800447,0.06,0,1.0
NGC3379,64416926551.51762,2.3518633886952323,0.33,0,3.0
NGC3384,31260793671.239494,2.0028725308956905,0.22,0,3.0
NGC3400,10814339512.979397,1.742897392166272,0.18,0,2.0
NGC3412,9311078754.678291,1.5920897706978479,0.47,0,1.0
NGC3414,109647819614.31874,3.6202699144142905,0.14,0,1.0
NGC3457,5093308710.571962,1.13702738385868,0.21,0,0.0
NGC3458,37931498497.36825,1.4077753168255802,0.05,0,2.0
NGC3489,10964781961.43183,1.2786766323377428,0.24,0,2.0
NGC3499,4764309868.054166,0.9958152978770693,0.25,0,0.0
NGC3522,15205475297.32497,1.7342633538499495,0.24,0,0.0
NGC3530,11641260294.104933,0.9051685600458466,0.23,0,0.0
NGC3595,46344691973.62884,2.4038332695950775,0.0,0,1.0
NGC3599,9246981739.382212,2.69923102515133,0.11,0,0.0
NGC3605,10023052380.778984,1.264069417423679,0.0,0,1.0
NGC3607,209893988362.35202,4.89697448590955,0.07,0,2.0
NGC3608,82224264994.70729,3.2053815282084055,0.09,0,0.0
NGC3610,45394161665.020325,1.7125300536674344,0.12,0,3.0
NGC3613,169044093164.32632,3.3990793440075255,0.0,0,2.0
NGC3619,67142885292.59523,4.146767258697313,0.28,0,1.0
NGC3626,27164392688.390892,2.325998756346449,0.23,0,1.0
NGC3630,32136605386.403282,1.2750137710878047,0.13,0,3.0
NGC3640,142560759360.21878,4.903775904298355,0.17,0,2.0
NGC3641,23120647901.755894,1.465124837907453,0.34,0,0.0
NGC3648,40179081084.89392,1.8808993219203278,0.21,0,2.0
NGC3658,47973344863.66882,3.3583242038703913,0.0,0,3.0
NGC3665,322106879128.3428,7.004914851950361,0.14,0,2.0
NGC3674,62373483548.24191,1.5216729961804007,0.04,0,2.0
NGC3694,6792036326.171857,1.6448167890997818,0.6,0,0.0
NGC3757,17418068733.916126,0.8643374011571255,0.2,0,0.0
NGC3796,5888436553.555884,1.2376582012962085,0.34,0,0.0
NGC3838,22961486481.123653,1.0731062618491838,0.0,0,2.0
NGC3941,21877616239.495518,1.4358921730971437,0.0,0,1.0
NGC3945,87700082114.3634,3.342434087070185,0.22,0,1.0
NGC3998,77090346906.44308,1.5932922144361041,0.15,0,2.0
NGC4026,34593937782.61231,1.2506874675135404,0.08,0,2.0
NGC4036,144543977074.5922,3.0655610817273953,0.0,0,2.0
NGC4078,58076441752.131355,1.6087917944457286,0.07,0,1.0
NGC4111,42072662838.444466,1.1064396296098233,0.0,0,2.0
NGC4119,18706821403.658016,3.2889616613014026,0.2,0,3.0
NGC4143,36057864302.164276,1.351781706816924,0.16,0,1.0
NGC4150,7194489780.037013,1.243596998537585,0.2,0,3.0
NGC4168,148936107771.09155,5.158617727466507,0.25,0,0.0
NGC4179,50699070827.47044,1.5312948116321008,0.08,0,3.0
NGC4191,37931498497.368095,2.7218296069503727,0.22,0,1.0
NGC4203,40086671762.73026,2.740893756394898,0.0,0,0.0
NGC4215,51880003892.896095,2.2640469080388717,0.04,0,2.0
NGC4233,91622049012.19992,2.6349632655841164,0.22,0,2.0
NGC4249,3981071705.5349693,2.756042001499609,0.78,0,0.0
NGC4251,37239170625.456825,1.9169387391536905,0.08,0,1.0
NGC4255,48977881936.84457,1.6208001225067907,0.04,0,3.0
NGC4259,7816278045.883277,1.455853941912086,0.51,0,0.0
NGC4261,410204102986.6064,6.6853720804472365,0.28,0,1.0
NGC4262,29991625189.87653,0.8691517074146496,0.02,0,2.0
NGC4264,26061535499.988976,2.429999221992683,0.31,0,0.0
NGC4267,33342641276.32347,2.885572256478702,0.17,0,1.0
NGC4268,42953642676.48864,1.9526937177474872,0.2,0,1.0
NGC4270,55718574893.19304,2.91150493317642,0.0,0,1.0
NGC4278,95719407129.48442,2.527548309992303,0.26,0,1.0
NGC4281,165576996346.95258,2.8971080519390835,0.0,0,2.0
NGC4283,10592537251.772898,0.8836215471962227,0.0,0,1.0
NGC4324,11091748152.624008,1.5242591510608792,0.32,0,1.0
NGC4339,27039583641.088352,2.3157669391968696,0.0,0,0.0
NGC4340,28183829312.644493,3.276368107639734,0.34,0,0.0
NGC4342,33265955329.40047,0.45715009150857244,0.01,0,3.0
NGC4346,18749945080.67417,1.2606358895726875,0.22,0,3.0
NGC4350,46344691973.62884,1.265014744959972,0.08,0,3.0
NGC4365,296483138952.4351,6.775335226122755,0.18,0,2.0
NGC4371,50350060878.790474,2.8841894784296587,0.27,0,1.0
NGC4374,338844156139.202,5.492203179507643,0.15,0,1.0
NGC4377,10375284158.180126,1.253126370094252,0.53,0,0.0
NGC4379,18578044550.91699,1.4362563234357992,0.0,0,1.0
NGC4382,180717412601.09332,7.185018617619556,0.5,0,0.0
NGC4387,15205475297.32497,1.3165213238069982,0.0,0,1.0
NGC4406,365594791613.1254,10.136409530141842,0.17,0,1.0
NGC4417,29716660317.38019,1.5159848091073216,0.13,0,2.0
NGC4425,13835663789.71781,1.78672951276789,0.14,0,0.0
NGC4429,146554784095.59128,3.9179492937337312,0.0,0,0.0
NGC4434,16180800376.430645,1.580603303017186,0.0,0,1.0
NGC4435,41114972110.45229,1.9023540090091886,0.13,0,3.0
NGC4442,65614526630.290565,1.7671210394236156,0.0,0,3.0
NGC4452,18197008586.099827,1.3667826750821348,0.0,0,3.0
NGC4458,9225714271.547667,1.7077280616424415,0.15,0,1.0
NGC4459,69984199600.22717,3.360475572654371,0.2,0,1.0
NGC4461,33962527259.040886,1.8157615318638634,0.06,0,3.0
NGC4472,595662143529.011,8.661058604090961,0.0,0,1.0
NGC4473,61235039172.47721,2.204277652248872,0.24,0,2.0
NGC4474,14689262776.438662,1.6169607022673715,0.05,0,2.0
NGC4476,7261059574.351559,1.422615494848229,0.2,0,0.0
NGC4477,66680676921.36219,3.516080511590522,0.47,0,1.0
NGC4478,37068072178.25752,1.3002407959388111,0.0,0,3.0
NGC4483,9549925860.21433,1.4597932056467182,0.3,0,1.0
NGC4486,483058802039.77185,6.57814305305423,0.13,0,2.0
NGC4486A,15523870099.580849,0.763881437248338,0.0,0,1.0
NGC4489,2477422057.633286,1.6947107630729394,0.77,0,0.0
NGC4494,80352612218.56161,3.764288967486808,0.2,0,1.0
NGC4503,48752849010.3387,2.2493591876261085,0.0,0,3.0
NGC4521,110407861990.20712,2.833775058870556,0.16,0,3.0
NGC4526,174984668862.46512,3.239057926335652,0.0,0,1.0
NGC4528,13182567385.564047,0.8876299626858293,0.01,0,2.0
NGC4546,57279603098.58304,1.4767107416975067,0.0,0,3.0
NGC4550,16865530253.887423,1.1773526482062266,0.21,0,3.0
NGC4551,18281002161.427372,1.3440045619835335,0.0,0,2.0
NGC4552,136144468246.59511,3.1421864665677184,0.21,0,2.0
NGC4564,37068072178.257675,1.486729482548242,0.04,0,3.0
NGC4570,44360864393.14328,1.4844684685240412,0.15,0,3.0
NGC4578,21134890398.366432,2.6227836714067188,0.38,0,1.0
NGC4596,74989420933.24559,4.295945974173628,0.18,0,2.0
NGC4608,41495404263.43616,3.707309218077719,0.0,0,2.0
NGC4612,10715193052.376049,2.3157035149947944,0.56,0,0.0
NGC4621,129717927098.39546,3.219297669796384,0.03,0,3.0
NGC4623,6637430704.019075,1.742304727838616,0.5,0,1.0
NGC4624,65313055264.74743,4.688768719417746,0.25,0,1.0
NGC4636,190546071796.32443,6.499963296200377,0.39,0,0.0
NGC4638,23550492838.96009,1.24627222290034,0.05,0,3.0
NGC4643,69984199600.22745,2.87116936204232,0.14,0,2.0
NGC4649,451855944374.9235,6.421270569879966,0.29,0,2.0
NGC4660,25822601906.345905,0.939001153740238,0.1,0,2.0
NGC4684,8433347577.642756,1.3269243460467077,0.1,0,2.0
NGC4690,41686938347.03346,3.800151578760997,0.0,0,1.0
NGC4694,7961593504.173183,2.4046884146560044,0.0,0,0.0
NGC4697,116680961706.0963,3.921748310805933,0.0,0,3.0
NGC4710,57411646220.7328,2.570743882698199,0.0,0,1.0
NGC4733,7516228940.182045,2.517345752027107,0.0,0,0.0
NGC4753,200909281260.8732,6.418157186607932,0.25,0,1.0
NGC4754,53456435939.697136,2.390015639573699,0.21,0,2.0
NGC4762,91201083935.59077,3.8431143419744815,0.23,0,3.0
NGC4803,12274392311.584084,1.6752170659528411,0.55,0,0.0
NGC5103,13273944577.297375,1.3702213312939575,0.22,0,0.0
NGC5173,18323144223.712112,2.088844404875392,0.33,0,0.0
NGC5198,153815464030.3039,4.367873506770002,0.0,0,1.0
NGC5273,9527961640.236502,2.9675684340586357,0.55,0,1.0
NGC5308,122179966016.4871,2.2640469080388717,0.09,0,3.0
NGC5322,300607630262.82294,6.501558810048509,0.16,0,1.0
NGC5342,27289777828.080406,1.2670776191336346,0.21,0,0.0
NGC5353,271643926883.9078,3.2368124083490963,0.11,0,2.0
NGC5355,9817479430.199863,1.9858606780110135,0.47,0,0.0
NGC5358,11885022274.370214,1.5862018915539258,0.27,0,0.0
NGC5379,7311390834.8341875,2.527528850463561,0.73,0,1.0
NGC5422,68233869414.1669,2.661494563044196,0.21,0,1.0
NGC5473,82224264994.70695,3.611710656074977,0.49,0,0.0
NGC5475,19860949173.573715,1.9721543413945968,0.33,0,2.0
NGC5481,41020410298.66064,2.787369687405566,0.0,0,0.0
NGC5485,103276140576.13959,3.531631709790795,0.09,0,0.0
NGC5493,62950618285.71968,2.7252515317710957,0.2,0,3.0
NGC5500,18492686189.780758,2.5039988728278875,0.13,0,0.0
NGC5507,40926065973.0011,1.653559119600733,0.17,0,3.0
NGC5557,213796208950.22324,5.2894022109026055,0.01,0,1.0
NGC5574,12105981335.50483,1.4827326527954008,0.04,0,0.0
NGC5576,75857757502.91852,3.3730792706272408,0.0,0,2.0
NGC5582,54827696492.08547,3.881991998460517,0.37,0,1.0
NGC5611,20090928126.08724,1.0250403258305931,0.06,0,3.0
NGC5631,69342580601.6568,3.3491810941172084,0.1,0,0.0
NGC5638,80723503024.88382,3.5384644126185023,0.06,0,0.0
NGC5687,84722741414.0598,3.468516548278652,0.12,0,1.0
NGC5770,8531001140.175878,1.4379593042273204,0.12,0,0.0
NGC5813,260615354999.88977,8.093180088494876,0.47,0,0.0
NGC5831,65012969034.30889,3.5332860089040556,0.14,0,0.0
NGC5838,143879857825.58438,2.500525918289835,0.0,0,3.0
NGC5839,26061535499.98887,1.9230808697142399,0.01,0,0.0
NGC5845,30690219883.911583,0.6208338778446549,0.0,0,3.0
NGC5846,322849412171.26245,6.956491083431245,0.14,0,1.0
NGC5854,24043628000.069347,2.0131501053425938,0.12,0,3.0
NGC5864,50815944256.056,2.6975708794830657,0.0,0,3.0
NGC5866,99770006382.25546,2.7590599380774434,0.0,0,0.0
NGC5869,60673632958.850464,2.659342130538725,0.24,0,1.0
NGC6010,53703179637.02533,2.081116024619939,0.17,0,1.0
NGC6014,22803420720.004208,4.0875012028216045,0.48,0,0.0
NGC6017,15170503674.593338,1.174824148123297,0.0,0,1.0
NGC6149,15739828644.66223,1.9729578480087782,0.31,0,0.0
NGC6278,89125093813.3744,2.9311102825690853,0.16,0,0.0
NGC6547,67764150761.06743,2.0856192656166685,0.12,0,1.0
NGC6548,58748935252.977684,3.8888651617522205,0.2,0,1.0
NGC6703,94406087628.59225,3.8359649555288904,0.0,0,1.0
NGC6798,39084089579.24025,2.252195749731435,0.16,0,2.0
NGC7280,18155156627.73137,2.462199352889379,0.36,0,1.0
NGC7332,30831879502.4936,1.6975512125520575,0.07,0,1.0
NGC7454,36897759857.015045,2.6919243548552103,0.13,0,0.0
NGC7457,9418895965.228418,2.3451173358057207,0.45,0,1.0
NGC7465,14454397707.45928,1.3075023773110381,0.05,0,0.0
NGC7693,9885530946.56941,2.1211829560260522,0.0,0,1.0
NGC7710,11481536214.968842,1.002429373177058,0.0,0,1.0
PGC016060,27925438412.373363,1.596124142520959,0.0,0,2.0
PGC028887,19998618696.32745,2.043425099514705,0.35,0,0.0
PGC029321,644169265.5151762,1.3623797344719188,0.9,0,0.0
PGC035754,17179083871.57586,1.654396009418615,0.0,0,1.0
PGC042549,16904409316.432632,1.645012779027919,0.14,0,1.0
PGC044433,21428906011.20065,1.1238781798383326,0.1,0,1.0
PGC050395,3235936569.296281,1.7869722431395072,0.74,0,0.0
PGC051753,13152248321.922377,1.5659346744629847,0.15,0,1.0
PGC054452,6918309709.189363,1.8897174907196592,0.28,0,1.0
PGC056772,17498466886.24651,1.8372656797050098,0.0,0,1.0
PGC061468,1309181922.9994097,1.8762186013206508,0.9,0,0.0
PGC170172,4677351412.871982,1.2301236733398482,0.16,0,0.0
UGC03960,24043628000.06925,3.521380464106569,0.04,0,0.0
UGC04551,34355794789.98743,1.0832604771526742,0.04,0,2.0
UGC05408,7063175542.629622,1.2925291453728651,0.0,0,0.0
UGC06062,31117163371.0602,1.955626131837443,0.25,0,1.0
UGC06176,12078138351.067774,1.891120661017052,0.5,0,0.0
UGC08876,27925438412.373363,1.1240213618927455,0.0,0,1.0
UGC09519,10399201658.290579,0.9919366775248575,0.1,0,1.0
