Name,M*,Reff,fDM(Reff),sigma_fdm(Reff)
None,[Msun],[kpc],None,None
C1971 ,91201083935.59116,4.4,0.5973635671393849,3.0531672633980296e-05
C2335 ,13489628825.916561,0.8,0.2868701835933737,5.984306151663997e-05
C3382 ,41686938347.03346,5.9,0.7355208324141259,2.4359923330277872e-05
C3420 ,67608297539.19819,2.1,0.5718154416251506,5.373296418821639e-05
C3751 ,117489755493.95303,3.6,0.04594972228301275,7.76552551630106e-05
C3769 ,12589254117.941662,2.0,0.7846690717459365,4.0628477029068595e-05
C4987 ,29512092266.663902,1.4,0.7129209240643579,3.189767510396024e-05
C5585 ,14125375446.227554,1.9,0.6623872160630602,4.403645007873128e-05
C6205 ,44668359215.09635,1.5,0.5453413231595353,2.6744628049439102e-05
C6574 ,30902954325.13592,1.6,0.7431199877012062,7.253082700201235e-05
C6805 ,8317637711.026709,1.4,0.6114857608024811,5.405415501878524e-05
C6880 ,213796208950.22324,6.5,0.3296789472276668,3.253985693069579e-05
C7505 ,61659500186.148094,1.7,0.0933162189235267,2.924786390569269e-05
C7884 ,22908676527.6777,2.3,0.6549447441319567,3.494230439170059e-05
C8225 ,33884415613.920204,1.6,0.7183366674893801,1.3254745059323294e-05
C8454 ,21877616239.495518,2.9,0.7451452727368331,3.504252499868547e-05
C8520 ,22908676527.6777,1.9,0.597722906295716,1.9988923910771876e-05
C9125 ,16982436524.61746,1.5,0.7316060862380964,1.9672852317626437e-05
C9620 ,27542287033.381634,1.5,0.5866411359019652,5.061537111404507e-05
C10105,61659500186.148094,2.8,0.41220266145054185,3.2655407697192126e-05
C10458,31622776601.683792,1.3,0.2805591661165425,0.00013463220283199201
C11537,15488166189.124796,1.0,0.7155465606812759,1.83518347947564e-05
C11601,19054607179.632442,1.4,0.5402066816387314,5.172674831564271e-05
C12669,34673685045.2531,1.2,0.4693233937155885,5.8692343552192974e-05
C13266,85113803820.2376,3.4,0.6508170371844284,1.121872972901435e-05
C13569,120226443461.74132,5.5,0.5588083580403669,4.262721178353944e-05
C14061,32359365692.96281,1.0,0.37141249156235756,2.979087717713945e-05
C14090,21877616239.495518,1.7,0.685104802678589,7.034892706116629e-05
C14530,14791083881.682072,3.0,0.4493900466420909,0.00012513862576316116
C14670,56234132519.034904,1.4,-0.09638381699872833,0.00022174054725816985
C15461,33113112148.259075,2.1,0.5390493111510289,8.039837596202982e-05
C15568,11481536214.968842,1.4,0.820899636051035,1.8000036577785435e-05
C15873,36307805477.01018,1.4,0.500965122666077,4.7078762012634266e-05
C16312,85113803820.2376,3.9,0.5720160719600205,3.66843366891411e-05
C16584,72443596007.49892,3.1,0.6520355486871483,6.35287794928028e-05
C1750 ,93325430079.69925,3.0,0.3957112743979916,2.2911420875905536e-05
C10997,199526231496.88828,7.9,-0.05336426598343236,7.315029624884947e-05
C11937,144543977074.5928,3.1,0.159223173103487,6.910494467642574e-05
C13377,120226443461.74132,2.1,0.3500301703273261,3.7679410415807184e-05
C13869,87096358995.60797,6.4,0.7695727671066839,3.874440199091158e-05
C14419,46773514128.71981,2.9,0.354497409523416,6.147643718824609e-05
C14674,89125093813.3744,3.4,0.6430144326563044,1.699931273065217e-05
C15009,23988329190.194946,2.1,0.7862852769129387,4.174892264956546e-05
C15201,20892961308.54041,1.3,0.6724686586202957,3.179915935725284e-05
C15379,95499258602.14369,3.7,0.47905935682946865,6.0398915150206544e-05
C16015,114815362149.6884,5.2,0.562845713686458,2.0916473029356076e-05
C16153,109647819614.31828,3.3,0.44234576770352185,4.9132531479865926e-05
C16439,363078054770.10175,9.6,0.4321456717004091,4.732119402496592e-05
C16582,56234132519.034904,3.6,0.43037805231228343,3.698843816154004e-05
C16794,19952623149.688828,2.3,0.8143005121337759,3.510736586525629e-05
C16900,32359365692.96281,1.6,0.5205493191121358,9.036766760190111e-05
C17241,102329299228.07536,6.3,0.5196056547696765,4.49491785010829e-05
C18111,38904514499.42805,1.6,0.7028009608852488,3.798784710489301e-05
C18449,275422870333.81635,5.6,0.44162692822296035,2.8323271756806362e-05
C18834,32359365692.96281,1.7,0.5292411183829664,5.034854348845278e-05
C19894,85113803820.2376,3.5,0.5770851972916287,3.0343662974591662e-05
C21861,120226443461.74132,3.2,0.17119893964259247,5.86020951767864e-05
C22777,104712854805.08984,4.5,0.33530923244911515,0.00012988210400419585
C23241,16218100973.58933,2.4,0.5503136422234525,3.944617173478486e-05
C23448,162181009735.8933,15.6,0.5138970666702147,6.433715294070687e-05
C24747,63095734448.019424,1.6,0.21171365376169715,0.000128854498904338
C25085,77624711662.86928,3.8,0.6958323831404707,2.5242125880458868e-05
C25511,35481338923.357605,2.3,0.5216234542307789,9.166496685398245e-05
C17589,32359365692.96281,1.5,0.5472616101150674,5.798619771925245e-05
C11435,83176377110.26709,2.5,0.081574114878603,0.00012453232340629112
C13250,309029543251.3592,10.4,0.5888339003143617,5.262926075976171e-05
C13906,63095734448.019424,2.3,0.48675361277450746,3.3420694982125094e-05
C19201,117489755493.95303,4.6,0.31060716841380087,4.6216279212482636e-05
C19452,81283051616.40996,4.1,0.5349021383932371,3.875815513389693e-05
C19941,173780082874.93762,6.5,0.5089815256841957,2.7153095353869354e-05
C20186,28183829312.644493,2.6,0.6196722588249077,0.0001017437269385597
C20343,275422870333.81635,7.3,0.47793115211429793,2.088275391542808e-05
C20567,79432823472.42822,5.4,0.5545863852014163,4.216933631229195e-05
C20636,27542287033.381634,2.3,0.6416520056448751,4.215858757119118e-05
C21084,21379620895.022324,3.6,0.7379572884489742,3.369120577084617e-05
C21355,147910838816.8207,2.8,0.07302787079471262,5.010660157866419e-05
C21526,54954087385.76248,2.2,0.7448932217460833,1.5779800716737116e-05
C21722,57543993733.71567,4.4,0.6730720193501716,2.1092127783859907e-05
C22359,77624711662.86928,7.3,0.6702575545407767,1.57960452914598e-05
U34617,67608297539.19819,3.6,0.4445615563812454,4.5474492460014986e-05
U34621,69183097091.89363,2.7,0.6054789314793994,1.997575030484054e-05
U35595,50118723362.72715,2.2,0.6690759556439451,2.4412429501676184e-05
U35614,67608297539.19819,3.2,0.6747000574856593,1.921603035949692e-05
U35812,15848931924.611109,1.1,0.6111054027146472,4.345191031121261e-05
U36418,15488166189.124796,1.6,-0.033536111425879866,0.00029857709885636527
U37266,28183829312.644493,1.9,0.3360315315545779,0.00015285605028959358
U37305,12589254117.941662,1.9,0.723654706932719,5.757193605568353e-05
U37448,75857757502.91852,2.9,0.5195887252592444,2.6566522105479567e-05
U39101,22908676527.6777,0.6,0.32392502756472996,7.34199065088076e-05
U39256,13489628825.916561,1.1,0.729474884460786,3.0058346171023778e-05
U39720,25703957827.68865,2.9,0.5974920281604359,0.00010500207961032108
U39741,11748975549.395304,0.6,0.4275698333698077,0.00013312329456516105
U40351,23442288153.19918,2.0,0.5111499352769819,3.39479211613207e-05
U40381,20417379446.695316,1.0,0.6180084666991006,6.396137301782501e-05
U40429,36307805477.01018,1.7,0.45443551690109363,2.372019491734376e-05
U40638,70794578438.41373,3.9,0.05662007723442364,0.00010238231719936487
U40998,17782794100.38923,2.3,0.2591067974714032,0.00010918426142526692
U41037,24547089156.850334,1.6,0.5764895396594512,4.785428930401683e-05
U41224,10000000000.0,1.0,0.5110917396585504,7.352003914909017e-05
U41225,77624711662.86928,3.3,0.6468215196322094,5.2976772055168585e-05
